snapshot_id,observed_at,retrieved_at,source_date,model,effort,label,source_score,passed,tasks,invalid,valid_tasks,total_tokens,input_tokens,cached_input_tokens,output_tokens,wall_seconds,cost_usd,provenance,source_url
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-luna,max,GPT-5.6 Luna max,93,58,94,0,94,1480530254,1473889219,1440195328,6641035,185452,218.838763,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-sol,high,GPT-5.6 Sol high,89.8,62,104,0,104,706849039,703634662,684952576,3214377,146803,541.113422,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-sol,low,GPT-5.6 Sol low,73.1,49,101,0,101,214750123,213473600,204147200,1276523,64397,192.785174,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-sol,medium,GPT-5.6 Sol medium,84.5,60,107,0,107,416802979,414495448,400813568,2307531,105674,349.038512,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-sol,xhigh,GPT-5.6 Sol xhigh,93.6,64,103,0,103,942352637,938285929,915116032,4066708,169738,702.225612,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-terra,high,GPT-5.6 Terra high,77.9,46,89,0,89,269890085,267992367,257723648,1897718,73512,117.53188,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
4ecd10ee9c029a65,2026-07-13T22:08:07.261261+08:00,2026-07-17T08:30:23+00:00,2026-07-17T14:35:21+08:00,gpt-5.6-terra,max,GPT-5.6 Terra max,95.7,54,85,0,85,1070244298,1064743353,1040174848,5500945,158099,411.587501,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.5,high,GPT-5.5 high,87.7,64,110,0,110,493325708,490607581,476132864,2718127,174204,391.983827,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-luna,high,GPT-5.6 Luna high,59.6,36,91,0,91,679167486,676198259,658068736,2969227,100023,104.646095,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-luna,max,GPT-5.6 Luna max,92.6,59,96,0,96,1503066298,1496262487,1461814784,6803811,190655,223.40214,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-sol,high,GPT-5.6 Sol high,91.8,64,105,0,105,713560013,710316389,691663616,3243624,149445,546.232792,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-sol,low,GPT-5.6 Sol low,71.1,50,106,0,106,217431797,216117157,206511616,1314640,68235,195.976532,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-sol,medium,GPT-5.6 Sol medium,82.9,60,109,0,109,430118462,427760994,413565184,2357468,109511,358.373598,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-sol,xhigh,GPT-5.6 Sol xhigh,95.8,68,107,0,107,996141889,991944345,968228864,4197544,178206,732.512699,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-terra,high,GPT-5.6 Terra high,74.5,46,93,0,93,277759900,275789067,265698048,1970833,75887,120.336356,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
373dde28985bad9d,2026-07-13T22:08:07.261261+08:00,2026-07-17T10:26:53+00:00,2026-07-17T16:34:46+08:00,gpt-5.6-terra,max,GPT-5.6 Terra max,95.4,57,90,0,90,1120322383,1114521550,1089094656,5800833,164566,434.101738,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.5,high,GPT-5.5 high,85.5,63,111,0,111,501890340,499146791,484490752,2743549,165807,397.832041,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.6-luna,high,GPT-5.6 Luna high,60.6,39,97,0,97,719669227,716505431,697152000,3163796,105785,111.111879,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.6-luna,max,GPT-5.6 Luna max,90.1,61,102,0,102,1594280542,1587069532,1550864896,7211010,201791,238.614432,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.6-sol,high,GPT-5.6 Sol high,91.8,64,105,0,105,716181775,712933846,694196480,3247929,148670,555.723993,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.6-sol,low,GPT-5.6 Sol low,73.2,52,107,0,107,236740602,235404552,225486080,1336050,71768,198.722475,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
9058c9a04116e626,2026-07-13T22:08:07.261261+08:00,2026-07-17T11:59:32+00:00,2026-07-17T18:35:20+08:00,gpt-5.6-sol,medium,GPT-5.6 Sol medium,86.3,63,110,0,110,454524256,452143647,437612032,2380609,113444,374.582944,authorized_api_model_iq_summary,https://codexradar.com/api/v1/current
